reviewerID,asin,predictRating,T_v,overall,reviewText,filteredReviewText
A186SYJ56RFQPG,B000WOUTKA,-1,1,4,had to but it,
A2GB0ZN99SUTWX,B000WOWPZM,1,-1,3,"The quality of the song is a little crackly. I heard this song on the radio the other night, and I wanted to have it on my MP3 player. It is a good song. If you find a version with a better quality, go for that version instead.","The quality of the song is a little crackly . I heard this song on the radio the other night , and I wanted to have it on my MP3 player . It is a good song . If you find a version with a better quality , go for that version instead ."
A2HMYDL0C91P3N,B000WOWPZM,-1,1,5,okay,okay
A228P1SMLQ4TRB,B000WOWPZM,-1,1,4,Why would anybody dump this woman?,Why would anybody dump this woman ?
A16ITYYOPBBP2R,B000WQ6XL2,-1,1,4,3 dog night was a staple rock band. The very idea of anyone reviewing songs from the 70's without mentioning them is wrong in every way. Mama Told Me is the center of their rocking.,3 dog night was a staple rock band . The very idea of anyone reviewing songs from the 70 's without mentioning them is wrong in every way .
A31J9510MMFH7W,B000WQ6XL2,-1,1,4,I already owned Three Dog Night's Joy To The World Greatest Hits collection -- and this song was not included.  A great single purchase finish the 3DK collection.,I already owned Three Dog Night 's Joy To The World Greatest Hits collection -- and this song was not included . A great single purchase finish the 3DK collection .
A3JRW716H3AX14,B000WQ6XL2,-1,1,4,I bought this tune just as a trip down memory lane and it did send me back to the 70s. It is a somewhat cheesy tune with vocal with lots of affectation which has some comic value. The recording doesn't really hold up and needs to be remastered. But if like me you need a brief escape to the70s this might do the trick.,I bought this tune just as a trip down memory lane and it did send me back to the 70s . It is a somewhat cheesy tune with vocal with lots of affectation which has some comic value . The recording does n't really hold up and needs to be remastered . But if like me you need a brief escape to the70s this might do the trick .
A252UVOWRR2KPW,B000WQ6XK8,1,-1,3,...the best songs Three Dog Night did.  But it's okay.  Downloaded it because it brought back memories of losing my first real love...,... the best songs Three Dog Night did . But it 's okay . Downloaded it because it brought back memories of losing my first real love ...
A3UDXI1UAVUZAY,B000WSWEOA,-1,1,4,I didn't realize that there were various versions of the song. This one is not the one on You Tube but is close and doesn't have the instrumental for the second half.,I did n't realize that there were various versions of the song . This one is not the one on You Tube but is close and does n't have the instrumental for the second half .
A3QSZ2SE3HUSXM,B000WSWEOA,-1,1,4,I'm a lover of this type of music. I get the MP3 downloads which hasn't been the best with Amazon's Downloading device this past 4 months which is why I knocked a star off.,I 'm a lover of this type of music . I get the MP3 downloads which has n't been the best with Amazon 's Downloading device this past 4 months which is why I knocked a star off .
