reviewerID,asin,predictRating,T_v,overall,reviewText,filteredReviewText
AS3HWIU95DM6N,B00138FKBW,-1,1,5,I will order no more music from you no matter how good because that cloud thing stops my music and will not let it go into my computer. Its a waste of money if I cannot hear it whenever I want to.,I will order no more music from you no matter how good because that cloud thing stops my music and will not let it go into my computer . Its a waste of money if I can not hear it whenever I want to .
A3QWNQ2WA7QZYJ,B00138F9AO,1,-1,2,"THE BEST SONGS ARE ALSO ON LIGHT FUSE, GET AWAY.

Released in 1997, this is Widespread Panic's fifth CD.  The sound quality is very good.  It is 49 minutes long, but the last 4 minutes of Greta is just a very annoying scraping, buzzing sound.  The CD originally came in a cardboard foldout case.

There is something that is not quite right with this CD.  The production values and engineering are very good.  I think it is that the compositions are just not very good.

This is one of those singer/song writer albums that every jam band puts out.  Everyone wants to do an American Beauty (Grateful Dead's landmark album).  Moe had Dither, String Cheese Incident has One Step Closer and Phish had Picture of Nectar.  They were all failures.

To make a singer/song writer album, the group usually brings in an outside producer.  This producer than molds the album around his vision, instead of the band's.  It usually doesn't work.

John Keane produced this album.  He also produced the previous Ain't Life Grand, where he was very succesful.  I think that with Ain't Life Grand, he made the album better by cleaing up the sound, but not interfering with the group's artistic vision.  On this CD, Bombs & Butterflies, he might have too much influence.

It also sounds like the group is trying to copy others.  Aunt Avis sounds like LA country rock by someone like the Buffalo Springfield or Crosby, Stills, Nash and Young.  Happy, is an Allman Brothers type instrumental, but is not very interesting.  Many of the songs are along the standard Southern Rock music style.  You Got Yours sounds like it has a little Deep Purple mixed in.  Greta has a Pink Floyd like opening.

The album does have a very good sound.  The playing and mix are excellent.  He also contained John Herrman's keyboard playing so that really enhances the songs, instead of detracting from them.

But, the songs just are not very good.  And the best songs,  Rebirtha and Greta are on the live CD Light Fuse, Get Away and Tall Boy is on Classic City.  You could get those and skip this CD.

The worst songs, Aunt Avis and Hope in a Hopeless World were written by someone else.  The group should stick to performing their own songs, or JJ Cale songs.

If you are new to Widespread Panic, get the live CD Classic City and then get the first two CD's, Widespread Panic and Space Wrangler, which are fantastic, five star albums.","THE BEST SONGS ARE ALSO ON LIGHT FUSE , GET AWAY . Released in 1997 , this is Widespread Panic 's fifth CD . The sound quality is very good . It is 49 minutes long , but the last 4 minutes of Greta is just a very annoying scraping , buzzing sound . The CD originally came in a cardboard foldout case . There is something that is not quite right with this CD . The production values and engineering are very good . I think it is that the compositions are just not very good . This is one of those singer / song writer albums that every jam band puts out . Everyone wants to do an American Beauty ( Grateful Dead 's landmark album ) . They were all failures . To make a singer / song writer album , the group usually brings in an outside producer . This producer than molds the album around his vision , instead of the band 's . It usually does n't work . He also produced the previous Ai n't Life Grand , where he was very succesful . I think that with Ai n't Life Grand , he made the album better by cleaing up the sound , but not interfering with the group 's artistic vision . On this CD , Bombs & Butterflies , he might have too much influence . It also sounds like the group is trying to copy others . Aunt Avis sounds like LA country rock by someone like the Buffalo Springfield or Crosby , Stills , Nash and Young . Happy , is an Allman Brothers type instrumental , but is not very interesting . Many of the songs are along the standard Southern Rock music style . You Got Yours sounds like it has a little Deep Purple mixed in . Greta has a Pink Floyd like opening . The album does have a very good sound . The playing and mix are excellent . He also contained John Herrman 's keyboard playing so that really enhances the songs , instead of detracting from them . But , the songs just are not very good . And the best songs ,   Rebirtha and Greta are on the live CD Light Fuse , Get Away and Tall Boy is on Classic City . The worst songs , Aunt Avis and Hope in a Hopeless World were written by someone else . The group should stick to performing their own songs , or JJ Cale songs . If you are new to Widespread Panic , get the live CD Classic City and then get the first two CD 's , Widespread Panic and Space Wrangler , which are fantastic , five star albums ."
A2MS8LHVG3PCKQ,B00138ICVW,-1,1,5,video,
A3FWHXSZSTKFIU,B00138J53G,1,-1,2,"Starts off great, gets bad real quick.
Some of the biggest names in R&B (or urban music if you read the insert) right now are on it, with some strong newcomers.  The Erykah Badu song is a powerful ballad of laziness and better than almost everything on her ""Mama's Gun"" record.  Rookie Glen Lewis gives us the strongest song on the CD, ""Don't You Forget It"", which is the track they're using in the TV commercials.  When his record finally drops (11/2001) I'll get it on the strength of tis track.
The only other standout tracks belong to India. Arie, who gives us a great track in the tone of the stuff on her album, but smoothed around the edges, ""Butterfly""; and Jill Scott, who's offering is, sadly, a remix of a song we've already been inundated with over the past year, so it already sounds old once the laser hits the disc.  Jill can do no wrong with me, but this was a mistake.  It's a cool track, but we could do with something new about now.  Fortunately, she's dropping a double album this month as well to make up for it, so I'll be content soon enough.
The rest of the album is abhorrent.  Macy Gray (whom I never liked anyway) is even worse here.  I'd rather hear her sing the National Anthem again.  The new cats on the rest of the disc don't lift off, and even vets like the indestructable Amel Larrieux and the Roots don't keep up the groove of the record.  After about the 5th track, you're in for some rough riding, buddy.
The tracks by Glen Lewis, Badu and Arie are almost wort the disc, though.  Almost, except that lewis's track will likely be on his CD anyway, and Arie will probably put this track on her next record as well, so you'll end up with the best stuff one way or another.","Starts off great , gets bad real quick . Some of the biggest names in R&B ( or urban music if you read the insert ) right now are on it , with some strong newcomers . The Erykah Badu song is a powerful ballad of laziness and better than almost everything on her "" Mama 's Gun "" record . Rookie Glen Lewis gives us the strongest song on the CD , "" Do n't You Forget It "" , which is the track they 're using in the TV commercials . When his record finally drops ( 11/2001 ) I 'll get it on the strength of tis track . The only other standout tracks belong to India . Arie , who gives us a great track in the tone of the stuff on her album , but smoothed around the edges , "" Butterfly "" ; and Jill Scott , who 's offering is , sadly , a remix of a song we 've already been inundated with over the past year , so it already sounds old once the laser hits the disc . Jill can do no wrong with me , but this was a mistake . It 's a cool track , but we could do with something new about now . Fortunately , she 's dropping a double album this month as well to make up for it , so I 'll be content soon enough . The rest of the album is abhorrent . Macy Gray ( whom I never liked anyway ) is even worse here . I 'd rather hear her sing the National Anthem again . The new cats on the rest of the disc do n't lift off , and even vets like the indestructable Amel Larrieux and the Roots do n't keep up the groove of the record . After about the 5th track , you 're in for some rough riding , buddy . The tracks by Glen Lewis , Badu and Arie are almost wort the disc , though . Almost , except that lewis 's track will likely be on his CD anyway , and Arie will probably put this track on her next record as well , so you 'll end up with the best stuff one way or another ."
A9Q28YTLYREO7,B00138J7N4,-1,1,4,I Dug The Soundtrack better than the film. The Music Sounds Good Through out.if the film had have just focused on The Music it would have been Incredible. The Musicianship is Solid Here.,I Dug The Soundtrack better than the film . The Music Sounds Good Through out.if the film had have just focused on The Music it would have been Incredible . The Musicianship is Solid Here .
A29TNAVMPYFRDF,B00138KJI6,-1,1,4,"Lorrie Morgan's second hits compilation starts pretty much where her last one left off, including tracks left off that one('We Both Walk')as well as incorporating singles she'd since  released. While there are a couple of holdovers from the previous set, there's still no 'Out Of Your Shoes', and tracks like 'Half Enough' and the new 'Whoop-De-Do' are  radio trifle that do nothing more than waste her vocal talent.  But when she latches on to something like Sarah McLachlan's 'Angel' or the superb Jon Randall-duet 'By My Side', it only serves to remind the listener that Morgan remains one of Nashville's most underrated vocal stylists.","Lorrie Morgan 's second hits compilation starts pretty much where her last one left off , including tracks left off that one('We Both Walk')as well as incorporating singles she 'd since   released . While there are a couple of holdovers from the previous set , there 's still no ' Out Of Your Shoes ' , and tracks like ' Half Enough ' and the new ' Whoop - De - Do ' are   radio trifle that do nothing more than waste her vocal talent . But when she latches on to something like Sarah McLachlan 's ' Angel ' or the superb Jon Randall - duet ' By My Side ' , it only serves to remind the listener that Morgan remains one of Nashville 's most underrated vocal stylists ."
A1ALPL858XSDE,B00138KJI6,1,-1,3,"With Lorrie Morgan's recent departure from RCA subsidiary BNA, this new seventeen-track set captures the final original recordings of a mostly successful eleven-year tenure.  It also serves as a fairly effective sequel  to Morgan's eleven-track Greatest Hits collection from 1995.  There are two  overlaps: her signature recording - the symphonic saga ""Something In Red"" -  and the pedestrian non-hit ballad ""Standing Tall.""  The latter tune should  have been dumped in favor of the pretty, top 5 charter ""Out Of Your Shoes""  (the only significant Morgan recording not found on either anthology).
  In the five years since her first collection, the honey-voiced Morgan's  track record at radio has become increasingly spotty.  Not surprising,  about half of the hits included here are recordings made before 1995 that  didn't make it onto the first set.  These include her hard-shufflin'  breakthrough single ""Trainwreck Of Emotion"" (choo-choo!), the toe-tapping  #1 ""We Both Walk,"" and the stirring confession ""He Talks To Me.""  They tend  to make more of an impact than the recent rousers ""Go Away"" or ""One Of  Those Nights Tonight"" and especially, her snoozy duets with ex-hubby Jon  Randall (""By My Side"") and Sammy Kershaw (""Maybe Not Tonight"").
  The five new recordings show a great diversity in both musical styles and  taste.  Morgan's stunning take on the Tammy Wynette classic ""Another Lonely  Song"" is a tribute in every sense of the word and probably her greatest  vocal performance to date.  Meanwhile, the rap-infested ""Whoop-de-do"" is  definitely her worst (Morgan has never sounded so inane).  The remaining  new efforts are a pair of pale ""Something In Red"" imitations (""To Get To  You,"" ""If I Cry"") and a live recording of the precious Sarah McLachlan hit  ""Angel.""  Those last three torchy recordings seem to signal the direction  Morgan wants to take her career in the future... what a shame.","With Lorrie Morgan 's recent departure from RCA subsidiary BNA , this new seventeen - track set captures the final original recordings of a mostly successful eleven - year tenure . It also serves as a fairly effective sequel   to Morgan 's eleven - track Greatest Hits collection from 1995 . There are two   overlaps : her signature recording - the symphonic saga "" Something In Red "" -   and the pedestrian non - hit ballad "" Standing Tall . "" The latter tune should   have been dumped in favor of the pretty , top 5 charter "" Out Of Your Shoes ""   ( the only significant Morgan recording not found on either anthology ) . In the five years since her first collection , the honey - voiced Morgan 's   track record at radio has become increasingly spotty . Not surprising ,   about half of the hits included here are recordings made before 1995 that   did n't make it onto the first set . These include her hard - shufflin '   breakthrough single "" Trainwreck Of Emotion "" ( choo - choo ! ) , the toe - tapping   # 1 "" We Both Walk , "" and the stirring confession "" He Talks To Me . "" They tend   to make more of an impact than the recent rousers "" Go Away "" or "" One Of   Those Nights Tonight "" and especially , her snoozy duets with ex - hubby Jon   Randall ( "" By My Side "" ) and Sammy Kershaw ( "" Maybe Not Tonight "" ) . The five new recordings show a great diversity in both musical styles and   taste . Morgan 's stunning take on the Tammy Wynette classic "" Another Lonely   Song "" is a tribute in every sense of the word and probably her greatest   vocal performance to date . Meanwhile , the rap - infested "" Whoop - de - do "" is   definitely her worst ( Morgan has never sounded so inane ) . The remaining   new efforts are a pair of pale "" Something In Red "" imitations ( "" To Get To   You , "" "" If I Cry "" ) and a live recording of the precious Sarah McLachlan hit   "" Angel . "" Those last three torchy recordings seem to signal the direction   Morgan wants to take her career in the future ... what a shame ."
A3M9WUJ4L5TXXN,B00138KN0A,-1,1,5,A lp replacement.,
A2WNLX4RDAG9MP,B00138KN0A,-1,1,4,"There's more than enough great playing here to make this disk well worth the price of purchase. Albert's Shuffle & Stop get things off to a tremendous start. His Holy Modal Majesty (what the hell did that mean?) is a wonderful jam, it must have influenced Duane Allman who was just coming into his own around this same time.
The Stills stuff is not quite as strong as the Bloomfield stuff. It Takes a Lot to Laugh..., a Dylan cover, is pretty good. Season of the Witch is totally re-imagined from the Donovan original. Still haven't decided what I think of it. You Don't Love Me sounds really dated, in my opinion. Man's Temptation & Harvey's Tune are not strong.
Alas, the version I had doesn't include the 4 bonus tracks. I might have enjoyed hearing Albert's Shuffle & Train w/o the horns, which definitely feel like they were plunked down rudely on top of the rest of the mix.","There 's more than enough great playing here to make this disk well worth the price of purchase . Albert 's Shuffle & Stop get things off to a tremendous start . His Holy Modal Majesty ( what the hell did that mean ? ) is a wonderful jam , it must have influenced Duane Allman who was just coming into his own around this same time . The Stills stuff is not quite as strong as the Bloomfield stuff . It Takes a Lot to Laugh ... , a Dylan cover , is pretty good . Season of the Witch is totally re - imagined from the Donovan original . Still have n't decided what I think of it . You Do n't Love Me sounds really dated , in my opinion . Man 's Temptation & Harvey 's Tune are not strong . Alas , the version I had does n't include the 4 bonus tracks . I might have enjoyed hearing Albert 's Shuffle & Train w/o the horns , which definitely feel like they were plunked down rudely on top of the rest of the mix ."
A20X9H03PZP4AT,B00138KN0A,-1,1,4,"This new revised CD of the Original Super session really doesn't offer much unreleased material except for two songs without horns that were on the original and an unreleased instrumential-the album Super session is great but if you have the original release, there is not much new to offer here-except for updated notes and pictures--I bought it because I am a collector-but if you have the original and are not that serious of a collector of Bloomfield/Kooper-don't bother-get the Live at the Fillmore East album instead.","This new revised CD of the Original Super session really does n't offer much unreleased material except for two songs without horns that were on the original and an unreleased instrumential - the album Super session is great but if you have the original release , there is not much new to offer here - except for updated notes and pictures -- I bought it because I am a collector - but if you have the original and are not that serious of a collector of Bloomfield / Kooper - don't bother - get the Live at the Fillmore East album instead ."
AE4JNORCLW8F6,B0013AEG4C,1,-1,3,"Back in the day, I would've given the song 5 stars because I LOVED it. It's sexy and psychedelic with the right amount of 'rough'. Over the years, listening to your favorite song can turn it into less than a fave. But I still like it.","Back in the day , I would 've given the song 5 stars because I LOVED it . It 's sexy and psychedelic with the right amount of ' rough ' . Over the years , listening to your favorite song can turn it into less than a fave . But I still like it ."
A3C08VYHPRD8Z6,B0013AEG4C,1,-1,3,"This song brings me back to the summer off during high school. It seemed that everywhere I turned, this was on the radio.","This song brings me back to the summer off during high school . It seemed that everywhere I turned , this was on the radio ."
A2Q5C2TYPU03P5,B0013AGFG4,-1,1,4,"Cut off the applause at the end too early; otherwise a decent version of Elvis doing ""My Way.""","Cut off the applause at the end too early ; otherwise a decent version of Elvis doing "" My Way . """
AKQA2PFAU6O0Y,B0013AGFG4,1,-1,3,I purchased this song to go on a picture slideshow/DVD of my recent trip to Graceland,I purchased this song to go on a picture slideshow/DVD of my recent trip to Graceland
A3I7J6H0FSZQIW,B0013AF9FC,-1,1,5,a,
AA2Q08RM5XIQV,B0013AF9FC,-1,1,5,Dance!,
A3VBVES8IYR5ZJ,B0013AUEMU,1,-1,3,"After 5 seasons of soundtracks, i prefer the double disc sets that have longer versions of each song. Not to mention, they could have made a more thorough soundtrack with all the missing songs people were searching for. My favorite part of this volume now is the opening theme song! Brings back fond memories. By the way, this volume is not beatmixed as are some of the others. track times:

1. spunk (:29)

2. dive in the pool (3:55)

3. you think you're a man (3:59)

4. proud (4:27)

5. lovin you (3:29)

6. crying at the discoteque (3:50)

7. suffering (4:46)

8. shake me (4:05)

9. summerfire (3:25)

10. start rockin (3:26)

11. do ya (3:49)

12. let's hear it for the boy (5:30)

13. high school confidential (3:14)

14. straight to number one (3:37)

15. spunk (:28)","After 5 seasons of soundtracks , i prefer the double disc sets that have longer versions of each song . Not to mention , they could have made a more thorough soundtrack with all the missing songs people were searching for . My favorite part of this volume now is the opening theme song ! Brings back fond memories . By the way , this volume is not beatmixed as are some of the others . 4 . proud ( 4:27 ) 

 5 . lovin you ( 3:29 ) 

 6 . crying at the discoteque ( 3:50 ) 

 7 . suffering ( 4:46 ) 

 8 . shake me ( 4:05 ) 

 9 . summerfire ( 3:25 ) 

 10 . high school confidential ( 3:14 ) 

 14 . straight to number one ( 3:37 ) 

 15 ."
