reviewerID,asin,predictRating,T_v,overall,reviewText,filteredReviewText
ACCQS2S225D6V,B00122B8VU,-1,1,5,what's to say? It's a song and I knew it before I bought it.,
A1S3YYM83ZT3JP,B00122CB4I,-1,1,5,You'll know it when you hear it.  When you get to know the words you can start singing 'My eyes deplored ya' to it :),
A3I7J6H0FSZQIW,B00122CB4I,-1,1,5,a,
A2FKKM35DOXOB2,B00122A1G8,-1,1,5,"I am not particularly a Modonna fan. Here music is good but really not music I (for me) would purchase - howeve this piece both in its plaintiff instrumentation, lyrics, and Madonna's voice make this a keeper. Addtionally, for me, it is good tune to dance west coast swing to, a bit slow but still good to dance to.","I am not particularly a Modonna fan . Here music is good but really not music I ( for me ) would purchase - howeve this piece both in its plaintiff instrumentation , lyrics , and Madonna 's voice make this a keeper . Addtionally , for me , it is good tune to dance west coast swing to , a bit slow but still good to dance to ."
A3CIWAI5ETAW80,B00122D76O,-1,1,5,Brings a lot of memory.,
A3I7J6H0FSZQIW,B00122CB70,-1,1,5,a,
A1OB1N267LNUIZ,B00122D2VO,-1,1,4,k,
AC2DWRWVQX263,B00122D2VO,-1,1,5,"Amazon needs to get the version of this song Crazy For You by a band called MYMP... I love Madonna, but I honestly think MYMPs version is better..","Amazon needs to get the version of this song Crazy I love Madonna , but I honestly think MYMPs version is better .."
A3VKMOX7O7ZVOF,B00122CATE,-1,1,5,i was a rag doll.,
AJ8M6GVFGIRLS,B00122FMC6,-1,1,5,Ha!  She's far from that.,Ha ! She 's far from that .
A2U7PDIBTY0LWZ,B00122FLH2,-1,1,5,"I think this  vas very worth value of purchasing download song, either its dance or chilll out or somewhat hard core dance floor, or Madonna I die another day. I downloaded lot more but only because I was counting that there will be somewhat track will be better then my evaluation better then it sounds","I think this   vas very worth value of purchasing download song , either its dance or chilll out or somewhat hard core dance floor , or Madonna I die another day . I downloaded lot more but only because I was counting that there will be somewhat track will be better then my evaluation better then it sounds"
A2C9XAU34WBN1F,B00122FLH2,1,-1,3,good,good
A2UFJ5NIT2RFCM,B00122E59C,-1,1,5,One of my all time favs.,
A23N9PENVBQ6HC,B00122E59C,-1,1,5,Jams!,
A1MSA79F5J0KXW,B00122HMZQ,-1,1,5,;-),
A1YPLQJ8QULKSK,B00122BA18,1,-1,3,Christmas play list,Christmas play list
A1L6T9DHFWTNDU,B00122BA18,1,-1,2,"I was searching for some more christmas music to add to my collection each year I want somethjng to play other than our Chipmunks christmas and Soulful Christmas albums. So this works. Thanks for the free music, free is always good, so no complaints.","I was searching for some more christmas music to add to my collection each year I want somethjng to play other than our Chipmunks christmas and Soulful Christmas albums . So this works . Thanks for the free music , free is always good , so no complaints ."
A1PU6U585S5Q4M,B00122HREM,1,-1,3,"This was a gift, so I cannot comment.","This was a gift , so I can not comment ."
A2X7R5NGYYT3YM,B00122HGQ6,-1,1,5,Every day!,
