reviewerID,asin,predictRating,T_v,overall,reviewText,filteredReviewText
A5P7STTZE2MJV,B01H5ZZ4CQ,1,1,4,"This is a great song and I love the rehash. It's a great addition to the soundtrack, which doesn't disappoint. The only reason for the 4-star vs. 5-star rating is that I'm a huge Queen fan. I feel a sentimental attachment to the Freddie Mercury version.","This is a great song and I love the rehash . It 's a great addition to the soundtrack , which does n't disappoint . The only reason for the 4 - star vs. 5 - star rating is that I 'm a huge Queen fan . I feel a sentimental attachment to the Freddie Mercury version ."
A2V78GK5CH63DA,B01H5ZZ4CQ,1,1,4,"When it comes to covers of songs there are some bands who will do better than others but none of them will ever quite match the original because it is just that, it is the original which we've all grown accustomed to and that is the version we will always think about while listening to the song. I love the original by Queen and I also like a handful of work Panic! At the Disco has done. I agree this song isn't 100% perfect there are some spots that Brendon Urie sings that don't sound to pleasing but over all as a whole I do like the song even with the spots I think could have been worked on.","When it comes to covers of songs there are some bands who will do better than others but none of them will ever quite match the original because it is just that , it is the original which we 've all grown accustomed to and that is the version we will always think about while listening to the song . I love the original by Queen and I also like a handful of work Panic ! I agree this song is n't 100 % perfect there are some spots Urie sings that do n't sound to pleasing but over all as a whole I do like the song even with the spots I think could have been worked on ."
A422TIGQH6GJ5,B01H5ZZ4CQ,-1,-1,1,"I realize what caused the ""panic"" at the disco: it's called an inferior band, in every way, tried to do a cover of a Queen classic, and in the process soiled and disrespected the original. This is a pathetic effort.","I realize what caused the "" panic "" at the disco : it 's called an inferior band , in every way , tried to do a cover of a Queen classic , and in the process soiled and disrespected the original . This is a pathetic effort ."
AM98EI5K7UQ2M,B01H5ZYVDY,1,1,5,"If there was ever a voice that could just put you away, it would be Kehlani's. End of story","If there was ever a voice that could just put you away , it would be Kehlani 's ."
AKC4RXUKHIUNI,B01H5ZYVDY,1,1,5,"Great song, a fun listen!","Great song , a fun listen !"
A2LT6QEOFTVMCK,B01H5ZYVDY,1,1,5,This song is amazing,This song is amazing
A2LF8JFHUUM0Q5,B01H5ZYNLY,1,1,5,The album has a good mix of songs and beats with a few good redone flashback songs.  If you like what they did with Sucker for Pain you'll like at least 90% of the album or more!!,The album has a good mix of songs and beats with a few good redone flashback songs . If you like what they did with Sucker for Pain you 'll like at least 90 % of the album or more ! !
A1HSUCYKMQYPMJ,B01H5ZYNLY,1,1,5,"All my friends are heathens,  so True. Loving the whole album, if you liked the movie then you need this album.","All my friends are heathens ,   so True . Loving the whole album , if you liked the movie then you need this album ."
A31MXW79N2UKRO,B01H5ZYNLY,1,1,5,Awesome Album.,Awesome Album .
A1P6CJLOY11EW2,B01H5ZYNLY,-1,-1,3,"Its like half great songs, half meh songs should have picked the ones i liked out instead of buying the whole thing.","Its like half great songs , half meh songs should have picked the ones i liked out instead of buying the whole thing ."
AG43FR4G26A1D,B01H5ZYNLY,1,1,5,"GREAT SONG! One of my favorites on the Suicide Squad album for SURE!

    All my friends are heathens take it slow. Wait for them to ask you who you know.   ",GREAT SONG ! One of my favorites on the Suicide Squad album for SURE ! All my friends are heathens take it slow .
A21RF3DDGLD40Y,B01H5ZYNLY,1,1,5,The best movie album I've heard in a while,The best movie album I've heard in a while
A2Q28S6FZVNJWN,B01H5ZYNLY,1,1,5,A Great soundtrack for a Fantastic movie.,A Great soundtrack for a Fantastic movie .
A3BD555VO8C6Z5,B01H5ZYNLY,1,1,5,Cool soundtrack.  It's very 2016esque,Cool soundtrack . It 's very 2016esque
A3F67YZNFDY6YI,B01H5ZYNLY,-1,-1,2,"I enjoyed the songs played throughout the movie. A few of them are here, but most seem to be replaced. Not a fan of the crummy rap version of ""You don't own me""...it's not original and is annoying. Just a cheap ride on Grace's coattails.","I enjoyed the songs played throughout the movie . A few of them are here , but most seem to be replaced . Not a fan of the crummy rap version of "" You do n't own me"" ... it 's not original and is annoying . Just a cheap ride on Grace 's coattails ."
A2INWX3S5YBS3C,B01H5ZZGME,1,1,5,Love this album and song gets you going!,Love this album and song gets you going !
A1MCDEWNKHHRZV,B01H5ZZGME,1,1,5,Good song.,Good song .
A2UEXA5EDWF0F4,B01H5ZZGME,1,1,5,if you like wiz khalifa and lil wayne etc - then you will love this song -,if you like wiz khalifa and lil wayne etc - then you will love this song -
AX3A22D274GLE,B01H5ZZGME,1,1,5,one of my favorites,one of my favorites
A3GPHDAC2CR5JZ,B01H5ZYNLY,1,1,5,Great mix of old and new songs. the whole album is great,Great mix of old and new songs . the whole album is great
AHUHUIABUO693,B01H5ZZGME,1,1,5,Great song,Great song
ACMIEM01ZVZYN,B01H5ZZGME,1,1,5,LOVE THIS SONG,LOVE THIS SONG
A2QKE8J4WUM7EY,B01H5ZZGME,1,1,5,There are no words to describe why I like this song.,There are no words to describe why I like this song .
A2RRDGWVSUGOGM,B01H5ZZGME,1,1,5,good song,good song
A3N34JMPIXMAXG,B01H5ZZGME,1,1,4,Like it,Like it
AEM1QMZ7BPTGT,B01H5ZZGME,1,1,5,"Downloaded fine, no glitches.","Downloaded fine , no glitches ."
A3F5WI7L94U26D,B01H5ZZGME,1,1,5,Great CD really like this CD. Its a must buy for those whom like these artists,Great CD really like this CD . Its a must buy for those whom like these artists
A3MIV0W93RHMNR,B01H5ZZGME,1,1,4,Great song I love this sound track too many hits.,Great song I love this sound track too many hits .
A3N1IZ2WX02Q9Z,B01H5ZZGME,1,1,4,Good,Good
A2GXIKCQ7TT7ZZ,B01H5ZZGME,1,1,5,loved it,loved it
A1Q9RFYTAE8I72,B01H5ZYNLY,1,1,4,Quality songs. Glad i bought whole cd instead of a couple tracks.,Glad i bought whole cd instead of a couple tracks .
A5P7STTZE2MJV,B01H5ZZGME,1,1,5,I'm a really big fan of this song. It has a great rhythm and is a goes well with the soundtrack. I love that the rap artists switch throughout the song and the Imagine Dragons lead takes the chorus. It has a really nice meld of musical genres. Another great addition to this album.,I 'm a really big fan of this song . It has a great rhythm and is a goes well with the soundtrack . I love that the rap artists switch throughout the song and the Imagine Dragons lead takes the chorus . It has a really nice meld of musical genres . Another great addition to this album .
A2N6PB2LG774ZC,B01H5ZZGME,1,1,4,"Good blend of artists, considering I don't like rap. The song comes out gr8","Good blend of artists , considering I do n't like rap . The song comes out gr8"
A2729AQCW8EGAP,B01H5ZZGME,1,1,4,"Admittedly, I prefer the chorus/ Imagine Dragons contribution than Wiz Khalifa and Lil Wayne.  The lyrics were still sharp, on point, and witty, though.  And everything tied into each other (the lyrics with the chorus with the movie, etc).  So, overall, a fun song.","Admittedly , I prefer the chorus/ Imagine Dragons contribution than Wiz Khalifa and Lil Wayne . The lyrics were still sharp , on point , and witty , though . And everything tied into each other ( the lyrics with the chorus with the movie , etc ) . So , overall , a fun song ."
AG43FR4G26A1D,B01H5ZZGME,1,1,5,"Great song, no wonder they released it as one of the early singles!","Great song , no wonder they released it as one of the early singles !"
A50N0VSCHXJQD,B01H5ZZGME,1,1,5,Great song and I love using Amazon for music purchases and storage.,Great song and I love using Amazon for music purchases and storage .
A1P6CJLOY11EW2,B01H5ZZGME,-1,-1,1,God Imagine Dragons are a one hit wonder that have not gone away.,God Imagine Dragons are a one hit wonder that have not gone away .
A3VM9K4M0RQZRQ,B01H5ZYNLY,1,1,5,I will actually buy ths album because all of the music is good in its own genre. The best song is Sucker for Pain. The mixture of rock & rap is so good.,I will actually buy ths album because all of the music is good in its own genre . The best song is Sucker for Pain . The mixture of rock & rap is so good .
