reviewerID,asin,predictRating,T_v,overall,reviewText
A3OFSREZADFUDY,3426958910,-1,1,5.0,bien
AAKSLZ9IDTEH0,3426958910,-1,1,4.0,"well best of's are a bit poison normally but this is not bad it's pretty good because I'd have put 90% hell await,reign in blood,south of,seasons ,divine and a couple musica's tracks and everything on god hates -at that point best of mean every cd mainly so this is not so bad  it dose put some great tracks that live shows don't play much out there like,213, skeletons of society,sex murder art and Gemini and some rare track too,final six is just a bonus track on Christ illusion but it's here with the mystery cover songs from unditstputed attitude cd(why these would be on a greatest hits collection I don't know) but the also put a couple of live tracks on here too.all in all it could be much worse but it's great for the car."
A3OFSREZADFUDY,3426958910,-1,1,5.0,bien
AAKSLZ9IDTEH0,3426958910,-1,1,4.0,"well best of's are a bit poison normally but this is not bad it's pretty good because I'd have put 90% hell await,reign in blood,south of,seasons ,divine and a couple musica's tracks and everything on god hates -at that point best of mean every cd mainly so this is not so bad  it dose put some great tracks that live shows don't play much out there like,213, skeletons of society,sex murder art and Gemini and some rare track too,final six is just a bonus track on Christ illusion but it's here with the mystery cover songs from unditstputed attitude cd(why these would be on a greatest hits collection I don't know) but the also put a couple of live tracks on here too.all in all it could be much worse but it's great for the car."
A34YKHOG6DGIXW,7799420340,-1,1,5.0,Classic!
A1RXVSBGGRKIIW,7799420340,-1,1,5.0,"Good luck finding any artist or group putting every song hit on one cd - it just doesn't happen.
But if you want to buy a Cd with a lot of Michael's hits- you cannot go wrong with this selection.
Pricing was very fair."
AE9GUE3HHOX3U,7799420340,-1,1,5.0,"Who would have ever thought Michael Jackson would die in this era?  It doesn't seem real, he wasn't supposed 2 die.  This collection of hits is almost as good as buying all of his solo works.  I actually would rather have each individual album but I don't have time for all that and I already own hundreds of cds, so The Essential Michael Jackson makes the most sense, for content and consolidation reasons.  But I still would like the artwork and other tracks from the other cds but I just don't feel like buying them, so i just bought this.  I went to 5 different stores and they were all SOLD OUT.  I finally got the last copy but I had to pay $25.  I think alot of people are just buying this cd as a trinket, I actually want to LISTEN to the music, so stop buying it if you are just going to hold it in your hand and stare at it and drool over it.  As for the music, I don't like any of the Jackson 5 stuff, it sounds dated and all the songs are overplayed.  I like ""Ben"", in my oppinion, that's the only good song MJ did when he was really young. They left out ""Never can Say Goodbye"" which is about the only good Jackson 5 song, so that sucked.  All MJ's other hits are on here from ALL the albums.  The only other song I'm pissed about is ""Jam"".  I wish they would have included that song, but I don't want to have to go out and find a copy of ""Dangerous"" just for that song.  Life is complicated and the music industry always makes it complicated for music fans. I wasn't really impressed with the pics in the liner notes, they could have included better, unreleased pics of Michael.  I am a Michael Jackson fan even though I disconnected with him and his music during the child molestation stuff.  Now that he died, I can feel better about paying him tribute and listening to his music again.  After all, I did a lip sync of ""Bad"" in full costume in high school drama class.  MJ was a part of my life.  God Bless u Michael, this world loved u.  *One last note....""Farewell My Summer Love"" should have been included on this cd, that song is probably impossilble to find.  I used to have it on 45."
A14GK0E64J0WAS,7799420340,-1,1,5.0,"In 2005, Sony released without much or any fanfare the terrific ""Essential Michael Jackson"", which easily is the best Michael Jackson compilation available these days. It also released a slightly different international version, which I recently picked up while in China. No, I didn't buy it from a pirated-CD hawking character on some street corner. In fact I bought it in a regular CD store in Shanghai, for all of 39 RMB (about US$ 5.50), if you can believe that.

The international version of ""The Essential Michael Jackson"" (2 CDs, 38 tracks, 156 min.) differs only slightly from the US version:

1. The Jacksons' ""Can You Feel It"" replaces ""Enjoy Yourself"" (an improvement);
2. Somehow ""I Just Can't Stop Loving You"" (from ""Bad"") is lumped along with (and in the middle of) the ""Thriller"" songs on CD1, obviously not an improvement;
3. The title track from ""Dangerous"" is left off, and instead 2 tracks from 1995's ""HIStory"" second CD of new material are added (""Earth Song"" and ""They Don't Care About Us""), a wash as far as I'm concerned although ""Earth Song"" remains a greatly underappreciated tune. How ""They Don't Care About Us"" ended up on the ""essential"" list, is a head-scratcher (although I like the song).

Would I have bought this again if it wasn't for the ridiculous low price in China? Almost certainly not. But I am glad I did, if nothing else, because it is just another memento from my trip to China (the Chinese version comes with Mandarin characters on the cover). That aside, ""The Essential Michael Jackson"" is a terrific album, whether you buy the US version or the international version, and it really showcases Michael Jackson at his best."
A1KNYQPZ1JQD62,7799420340,-1,1,4.0,"Michael Jackson is the biggest selling artist of all time. Also one of the greatest artists of all time. This is the 3rd greatest hits album in row. First in 2003, we get the Number Ones album, then in 2004 we get the Ultimate Box Set Edition,& now this. Don't get me wrong, I love Michael Jackson but why no new material on this album. The first Disc starts off great, the only missing from that one is songs like the Jackson 5's I'll Be There,Lovely One,Heartbreak Hotel,Never Can Say Goodbye and a few more. But that is why they released the Essential Jacksons. Disc 1 continues into all the ""Off The Wall"" & ""Thriller"" classics. Starting on Disc 2, it goes into all the ""Bad"" singles..the only one that was missing is ""Liberian Girl"" which was a single in the U.K., All the singles from ""Dangerous"" are here besides ""Jam"". I am not sure why the title cut ""Dangerous"" included. That should of been where ""Jam"" should of been. Also the final single from the ""Dangerous"" album is not included ""Gone Too Soon"". Now it starts to slip a little. We only get 1 song ""History"" & One song from ""Invincible""? No No!! Where is Scream, They Don't Care About Us, Stranger In Moscow,Earth Song & Childhood? From Invincible, where is Cry & Butterflies? and also his 2003 hit single ""One More Chance""? All of these titles are missing. Hopefully we will get a new album from him soon and not anymore greatest hits album."
A1J5KCZC8CMW9I,7799420340,-1,1,4.0,"Truth is, Michael Jackson needed a 2-disc collection as much as anybody. Those single discs didn't quite do it for somebody who's still often called the ""King Of Pop"". So, the pros and cons. I personally don't need the Jackson 5 material myself, but some might. I also think this is a bit shy on his most recent work. I do miss ""Earth Song"" and the duet ""Scream"" with Janet too. However, many of his best songs came from ""Thriller"" and ""Bad"", and we get most of those here. In fact there are 7 of the 9 songs from the original ""Thriller"" album, and even more from ""Bad"". Plus we get the best of ""Off The Wall"", and again some of his earliest stuff. The fact is, after listening to this collection of Michael Jackson, you almost can't not like him. It's just ""Human Nature""."
