reviewerID,asin,predictRating,T_v,overall,reviewText,filteredReviewText
A1E78KIR64YBT6,B000VZO4TW,1,1,5,my first favorite kiss song off the first favorite kiss album i own thank you for having it available and bring back those memories.,my first favorite kiss song off the first favorite kiss album i own thank you for having it available and bring back those memories .
ASUDG3BDP87CI,B000VZO4TW,1,1,5,Excellent,Excellent
AKMWILI3V2XCY,B000VZO4TW,1,1,5,"I don't like a bunch of Kiss, but I like this one.","I do n't like a bunch of Kiss , but I like this one ."
AAAVOYJKW8IC8,B000VZO4TW,1,1,5,"Loved the song.  Not a Kiss fan, but this song is excellent.","Loved the song . Not a Kiss fan , but this song is excellent ."
A2HPG8QACV8QAJ,B000VZO4TW,1,1,5,love the song,love the song
A2VAZRBS1VOBUF,B000VZO4TW,1,1,5,Great music!,Great music !
AGWD67X4C1ZVK,B000VZO4TW,1,1,5,great song. Thank you!!,great song . Thank you ! !
A86WP180LOBGH,B000VZO4TW,1,1,5,"Beautiful ballad by Penridge and KISS. This song, from the Destroyer album in 1976, is still a popular song with the young rockers ...after almost 40 years. Truly the mark of a great band and an awesome song!","Beautiful ballad by Penridge and KISS . This song , from the Destroyer album in 1976 , is still a popular song with the young rockers ... after almost 40 years . Truly the mark of a great band and an awesome song !"
A3FVAWZNKW9GX,B000VZO4TW,1,1,5,"KISS is a rock n roll band. In the 1970-80s era, they embodied an aspect of rock alongside the Who, the Stones and the others. Most of their music is high testosterone, like ""Strutter,"" ""Hard Luck Woman,"" and ""I Was Made for Loving You,"" bordering on self-parody. They were and are fun.

Then there's ""Beth."" It is a quiet song, but is gritty in its message. It isn't a metal ballad, but could have just easily been performed by Bread. There is depth, passion, and love. It is poetic, melodic, and, in my opinion, has earned its spot as one of rock music's greatest songs.

If the rest of KISS' songwriting was on par with ""Beth,"" KISS could've been more than a fun band stuck its era, but had a legacy to last until the end of rock n roll.

It begins:

Beth, I hear you callin'
But I can't come home right now
Me and the boys are playin'
And we just can't find the sound

It ends:
Beth, I know you're lonely
And I hope you'll be alright
'Cause me and the boys will be playin'
All night

Look, if you are reading this review, you already know the song. Nothing here that's new. I suppose my review is for that one guy on the planet who loves KISS but magically, mysteriously missed this song. Is that even possible?

Anthony Trendl
anthonytrendl.com","KISS is a rock n roll band . Most of their music is high testosterone , like "" Strutter , "" "" Hard Luck Woman , "" and "" I Was Made for Loving You , "" bordering on self - parody . They were and are fun . Then there 's "" Beth . "" It is a quiet song , but is gritty in its message . It is n't a metal ballad , but could have just easily been performed by Bread . There is depth , passion , and love . It is poetic , melodic , and , in my opinion , has earned its spot as one of rock music 's greatest songs . If the rest of KISS ' songwriting was on par with "" Beth , "" KISS could 've been more than a fun band stuck its era , but had a legacy to last until the end of rock n roll . But I ca n't come home right now 
 Me and the boys are playin ' And we just ca n't find the sound 

 It ends : Beth , I know you 're lonely And I hope you 'll be alright 
 'Cause me and the boys will be playin ' All night 

 Look , if you are reading this review , you already know the song . Nothing here that 's new . I suppose my review is for that one guy on the planet who loves KISS but magically , mysteriously missed this song . Is that even possible ? 

 Anthony Trendl 
 anthonytrendl.com"
AB0ARZZCB97SK,B000VZO4TW,1,1,5,No problems.  Thanks!,No problems . Thanks !
