ID,reviewerID,asin,overall,unixReviewTime
0,0,29,5.0,0.0
1,0,5,5.0,0.0
2,0,13,5.0,0.0
3,0,6,5.0,0.0
4,0,29,5.0,0.0
5,1,6,5.0,0.0
6,1,29,5.0,0.0
7,1,29,5.0,0.0
8,1,5,5.0,0.0
9,1,13,5.0,0.0
10,2,16,4.0,0.0
11,2,16,4.0,0.0
12,2,39,5.0,0.0
13,2,75,5.0,0.0
14,2,78,5.0,0.0
15,3,13,5.0,0.0
16,3,5,5.0,0.0
17,3,29,5.0,0.0
18,3,29,5.0,0.0
19,3,6,5.0,0.0
20,4,29,5.0,0.0
21,4,29,5.0,0.0
22,4,13,5.0,0.0
23,4,40,5.0,0.0
24,4,1,5.0,0.0
25,5,74,5.0,0.0
26,5,40,5.0,0.0
27,5,29,5.0,0.0
28,5,29,5.0,0.0
29,5,13,5.0,0.0
30,5,1,5.0,0.0
31,6,29,5.0,0.0
32,6,13,5.0,0.0
33,6,5,5.0,0.0
34,6,6,5.0,0.0
35,6,29,5.0,0.0
36,7,1,5.0,0.0
37,7,13,5.0,0.0
38,7,29,5.0,0.0
39,7,40,5.0,0.0
40,7,29,5.0,0.0
41,8,40,5.0,0.0
42,8,1,5.0,0.0
43,8,29,5.0,0.0
44,8,13,5.0,0.0
45,8,29,5.0,0.0
46,9,83,5.0,0.0
47,9,83,5.0,0.0
48,9,83,5.0,0.0
49,9,83,5.0,0.0
50,9,83,5.0,0.0
51,9,83,5.0,0.0
52,9,83,5.0,0.0
53,9,83,5.0,0.0
54,9,83,5.0,0.0
55,9,83,5.0,0.0
56,10,75,5.0,0.0
57,10,75,5.0,0.0
58,10,75,5.0,0.0
59,10,75,5.0,0.0
60,10,75,5.0,0.0
61,10,75,5.0,0.0
62,10,75,5.0,0.0
63,11,56,5.0,0.0
64,11,6,5.0,0.0
65,11,5,5.0,0.0
66,11,29,5.0,0.0
67,11,29,5.0,0.0
68,11,13,5.0,0.0
69,12,13,5.0,0.0
70,12,29,5.0,0.0
71,12,40,5.0,0.0
72,12,29,5.0,0.0
73,12,1,5.0,0.0
74,13,1,5.0,0.0
75,13,40,5.0,0.0
76,13,13,5.0,0.0
77,13,29,5.0,0.0
78,13,29,5.0,0.0
79,14,29,5.0,0.0
80,14,40,5.0,0.0
81,14,13,5.0,0.0
82,14,29,5.0,0.0
83,14,1,5.0,0.0
84,15,29,5.0,0.0
85,15,29,5.0,0.0
86,15,1,5.0,0.0
87,15,13,5.0,0.0
88,15,40,5.0,0.0
89,16,40,5.0,0.0
90,16,1,5.0,0.0
91,16,29,5.0,0.0
92,16,29,5.0,0.0
93,16,13,5.0,0.0
94,17,29,5.0,0.0
95,17,13,5.0,0.0
96,17,29,5.0,0.0
97,17,5,5.0,0.0
98,17,6,5.0,0.0
99,18,13,5.0,0.0
100,18,29,5.0,0.0
101,18,29,5.0,0.0
102,18,1,5.0,0.0
103,18,40,5.0,0.0
104,19,29,5.0,0.0
105,19,62,5.0,0.0
106,19,6,5.0,0.0
107,19,29,5.0,0.0
108,19,13,5.0,0.0
109,19,5,5.0,0.0
110,20,5,5.0,0.0
111,20,29,5.0,0.0
112,20,13,5.0,0.0
113,20,6,5.0,0.0
114,20,29,5.0,0.0
115,21,29,4.0,0.0
116,21,40,4.0,0.0
117,21,13,4.0,0.0
118,21,1,4.0,0.0
119,21,29,4.0,0.0
120,22,13,5.0,0.0
121,22,6,5.0,0.0
122,22,29,5.0,0.0
123,22,29,5.0,0.0
124,22,5,5.0,0.0
125,23,13,5.0,0.0
126,23,40,5.0,0.0
127,23,29,5.0,0.0
128,23,1,5.0,0.0
129,23,29,5.0,0.0
130,24,6,5.0,0.0
131,24,5,5.0,0.0
132,24,13,5.0,0.0
133,24,29,5.0,0.0
134,24,29,5.0,0.0
135,25,29,5.0,0.0
136,25,29,5.0,0.0
137,25,13,5.0,0.0
138,25,6,5.0,0.0
139,25,5,5.0,0.0
140,26,29,5.0,0.0
141,26,29,5.0,0.0
142,26,40,5.0,0.0
143,26,1,5.0,0.0
144,26,13,5.0,0.0
145,27,13,5.0,0.0
146,27,1,5.0,0.0
147,27,29,5.0,0.0
148,27,29,5.0,0.0
149,27,40,5.0,0.0
150,28,5,5.0,0.0
151,28,13,5.0,0.0
152,28,6,5.0,0.0
153,28,29,5.0,0.0
154,28,29,5.0,0.0
155,29,13,5.0,0.0
156,29,29,5.0,0.0
157,29,6,5.0,0.0
158,29,5,5.0,0.0
159,29,29,5.0,0.0
160,30,29,5.0,0.0
161,30,29,5.0,0.0
162,30,13,5.0,0.0
163,30,5,5.0,0.0
164,30,6,5.0,0.0
165,31,6,5.0,0.0
166,31,13,5.0,0.0
167,31,29,5.0,0.0
168,31,5,5.0,0.0
169,31,29,5.0,0.0
170,32,29,5.0,0.0
171,32,1,5.0,0.0
172,32,13,5.0,0.0
173,32,29,5.0,0.0
174,32,40,5.0,0.0
175,33,1,5.0,0.0
176,33,29,5.0,0.0
177,33,29,5.0,0.0
178,33,40,5.0,0.0
179,33,13,5.0,0.0
180,34,29,5.0,0.0
181,34,5,5.0,0.0
182,34,6,5.0,0.0
183,34,13,5.0,0.0
184,34,56,5.0,0.0
185,34,29,5.0,0.0
186,35,6,5.0,0.0
187,35,29,5.0,0.0
188,35,13,5.0,0.0
189,35,5,5.0,0.0
190,35,29,5.0,0.0
191,36,6,5.0,0.0
192,36,21,5.0,0.0
193,36,5,5.0,0.0
194,36,21,5.0,0.0
195,36,35,4.0,0.0
196,37,29,5.0,0.0
197,37,13,5.0,0.0
