reviewerID,asin,predictRating,T_v,overall,reviewText,filteredReview
A2AVMXNBKEL5T6,B000WOXPNS,1,1,5,This is a great song.  It reminds me of rolling down the highway on a really sunny day. One of my summer anthems.,This is a great song . It reminds me of rolling down the highway on a really sunny day .
A1B7R4FDTNQZWE,B000WOT9K6,1,1,5,I certainly enjoyed this item.  I would definitely recommend it to any and everyone who is interested in this item!,I certainly enjoyed this item . I would definitely recommend it to any and everyone who is interested in this item !
A3AGJ0NQXOW8M1,B000WOT9K6,1,1,5,"IF YOU LOVE BACK , BACK, BACK, UMM BACK IN THE DAY MUSIC, YOU WILL LOVE THIS ONE..TAKES YA BACK..Smoochiesss.....","IF YOU LOVE BACK , BACK , BACK , UMM BACK IN THE DAY MUSIC , YOU WILL LOVE THIS ONE .. TAKES YA BACK .."
A34UTNSRNF2AYB,B000WOT9K6,1,1,5,This one brings my Switch collection in to form. Switch made great slow songs and this is one of my all-time favorites,Switch made great slow songs and this is one of my all - time favorites
A2TXKUC8SN53H7,B000WOT9K6,1,1,5,Classic,Classic
,B000WOT9K6,1,1,4,Liked!!
,B000WOT9K6,1,1,5,LOVE IT!
,B000WOT9K6,1,1,4,I enjoy this song.
,B000WOT9K6,1,1,5,im old school and trying to find a single from back then is hard i give it 2 thumbs up.
,B000WOT9K6,1,1,4,This song you can or cannot dance to and okay. It is a sing along song. Or you can hum it.
,B000WOUTKA,1,1,5,"This is exactly the type of song I expected from Tom Petty. A very unique style  but, one that I really like."
,B000WOUTKA,1,1,5,Chartering a Cat in the BVI and wanted to develop a play list with tunes that have words we can understand and that take us back to our Youth (or is it back to middle-age - all 4 couples are 70+). Now I just have to figure out how to create a play-list and down-load it into my Sansa Fuse MP3 player.
,B000WOUTKA,1,1,4,The iconic Tom Petty song.
,B000WOUTKA,-1,-1,3,not sure why I pay for each song
,B000WOUTKA,1,1,5,Great!
,B000WOUTKA,1,1,5,Love this song.
,B000WOUTKA,1,1,5,great song
,B000WOUTKA,1,1,5,Love this song!!! Makes a good statement and hits home with so many people!! Nice & clear copy - you won't be disappointed!!
,B000WOUTKA,1,1,5,Great
,B000WOUTKA,1,1,4,this is one of my favorite songs of the past few decades. I was happy to get it into my Amazon library
,B000WOUTKA,-1,1,4,had to but it
,B000WOUTKA,1,1,5,It wrecks grate and locks grate
,B000WOUTKA,1,1,5,I like it.
,B000WOUTKA,1,1,5,good sound.
,B000WOUTKA,1,1,5,very cool song..
,B000WOUTKA,1,1,5,Good memories!
,B000WOUTKA,1,1,5,My daughter first heard this on the movie BARNYARD.  I finally got her to listen to Tom Petty! Now it's her anthem.
,B000WOUTKA,1,1,5,"Great song love this remake, one of my favorite song put it on all my play list.
A must have."
,B000WOXVOQ,1,1,5,Love this song I was glad to have found it at such a great price. Clear sound and instant delivery
,B000WOXVOQ,1,1,5,This song was an easy download.  The cloud player/downloader makes it very easy to purchase Mp3 songs from Amazon.  I also love the deals that are available via the music store.
,B000WOXVOQ,1,1,5,"...to the house parties of the 70s and 80s. Slow music, slow dancing, red light in the basement, a fine dude kissing your neck....sorry...I got carried away. If you want to remember those good ol' times, buy this song."
,B000WOXVOQ,1,1,5,great band love their music
,B000WOXVOQ,1,1,5,Like!!
,B000WOXVOQ,1,1,5,Great track!!
,B000WOXVOQ,1,1,5,This is a good song from this group.
,B000WOXVOQ,1,1,5,LOVE IT!
,B000WOXVOQ,1,1,5,One of the best song's of the 80's I miss this group. Real music back then.
,B000WOWPZM,1,-1,3,"The quality of the song is a little crackly. I heard this song on the radio the other night, and I wanted to have it on my MP3 player. It is a good song. If you find a version with a better quality, go for that version instead."
,B000WOWPZM,1,1,5,"Have you ever just been driving in your car and you hear those first few notes and all of a sudden you are overcome with emotion.  You begin driving with one hand, the other is now a microphone or a very vivid gesturer of your feelings.  Your voice begins without you realizing, singing along with all of the memories of past best friends, boyfriends, girlfriends, and imaginary friends swimming in front of your eyes.  Then you realize that you are crying as you sing at the loudest your emotion allows. Two hands on the wheel now, clinging while you say whoa-oa-oa. Then your hand returns, holding up a hush finger to your memory, ""Don't speak!"" you wail.  The words all come to you and for about five minutes you are overcome.  Wherever you are, red light, freeway, parking lot, side streets, or waiting for the song to end before you leave your car because you are at your destination, you sing.
This song deserves more than just that karaoke rendition in your car. It deserves to be heard more.  It deserves to be owned.
Buy this song.  Sing this song."
,B000WOWPZM,1,1,4,I remember hearing this song when I was in college.  I had to download it for my Ipod just for old times sake.
,B000WOXVOQ,1,1,5,"See this is considered GOOD MUSIC. This song has a positive vibe about it, that will make you feel good whatever you are going through."
,B000WOXVOQ,1,1,5,"What can I say about this Excellent Group that would do them justice other than how GREAT they are.  I have loved this group from the first time I heard him until this day!  They are a family that has some of the greatest voices in the music bussiness.  Their harmonies will make you sing along with them and if you love music like I do you'll be singing their tunes in your head too.

My whole family loves this group and one of its members brothers gave my sister a kiss on the cheek when she got her album autographed.  They were very nice and continue to this day to make fabulous music.  I miss them creating new sounds although some of them still perform like El Debarg one of the brothers.  If you and your special sweetie want to hear some mellow danceable jams, Get This One!"
,B000WOXVOQ,1,1,5,Love finding classic songs that take me back to my childhood and remind me of family car trips and vacations.
,B000WOXVOQ,1,1,5,This song is a good one. This is the song you would love to sing and hum. And you can listen to this song.
,B000WOXVOQ,1,1,5,I remember when this song came out in the 80's . Oh my word this  song  bring back a lot of good memories. And tells you how a man should make a woman feel.
,B000WOXVOQ,1,1,5,I certainly enjoyed this item.  I would definitely recommend it to any and everyone who is interested in this item!
,B000WOWPZM,1,1,5,Awesome song
,B000WOWPZM,-1,1,5,okay
,B000WOWPZM,1,1,5,FABULOUS FEMALE ARTIST AND ARRANGEMENT
,B000WOWPZM,1,1,4,Liked it
,B000WOWPZM,1,1,5,A great song.
,B000WOWPZM,1,1,4,classic
,B000WOWPZM,-1,1,4,Why would anybody dump this woman?
,B000WOWPZM,1,1,5,Great song.
,B000WOWPZM,1,1,5,Love it
,B000WOWPZM,1,1,5,Fell in love with this song when I heard the Spanish guitar playing in it. And who can't relate to this song as we have all been broken hearted at least once in our life by someone. Never get tired of this song.
,B000WQ6XL2,1,1,5,Great classic song with a good beat.
,B000WQ6XL2,1,1,5,"There are the songs that really made the the 60's and 70's and this is one of them. This is not a one hot wonder band, listen and you will find most of their songs are what your parents and older siblings were listening to. Thats how I first was introduced to these vibes, from my older brothers. Not my generation but it's good for the soul"
,B000WQ6XL2,1,1,4,Great band
,B000WQ6XL2,1,1,5,here we go again. My band. Man these guys really know how to harmonize.
,B000WQ6XL2,1,1,5,Love
,B000WQ6XL2,1,1,5,"Roots rock song from the 1950s - great lyrics - True as still today, as then."
,B000WQ6XL2,1,1,5,Great song from back in the day.  Lot's of humor in the song and very original. Love to listen to this t ok brighten up my mood.
,B000WQ6XL2,1,1,5,Sounds just like it did when it was famous.  Love the group and this song is a favorite. I recommend it.
,B000WQ6XL2,1,1,4,"Good music: good song good artist. Hope this music flows down to the next generation of artists at some point...I'm a little worried at the direction the music is going, but we always got these classics to listen to"
,B000WQ6XL2,1,1,4,"While trying for many years to upgrade my music system to include songs that were important to me, I found this song done by Three Dog Night that I enjoyed very much when it first came out. I decided that I should buy this song and include it my system, and am very glad that I did."
,B000WQ6XL2,1,1,5,I grew up with classic rock that my Dad introduced me to.  He made sure that I knew what good music was no matter what the genre!
,B000WQ6XL2,-1,1,4,3 dog night was a staple rock band. The very idea of anyone reviewing songs from the 70's without mentioning them is wrong in every way. Mama Told Me is the center of their rocking.
,B000WQ6XL2,1,1,5,"I rate this band a 5 star because they sound great. Yes, its an older band but still sound just as good listeing to them now as they did back then. A must hear kind of song."
,B000WQ6XL2,-1,1,4,I already owned Three Dog Night's Joy To The World Greatest Hits collection -- and this song was not included.  A great single purchase finish the 3DK collection.
,B000WQ6XL2,-1,1,4,I bought this tune just as a trip down memory lane and it did send me back to the 70s. It is a somewhat cheesy tune with vocal with lots of affectation which has some comic value. The recording doesn't really hold up and needs to be remastered. But if like me you need a brief escape to the70s this might do the trick.
,B000WQ6XK8,1,1,5,These songs helped us get through the difficult times cause it spoke about the feelings we had that we could not put into words..
,B000WQ6XK8,1,1,5,Three dog night is an awesome group. I love their songs and this one is a great song.
,B000WQ6XK8,1,1,5,Great
,B000WQ6XK8,1,1,5,This is classic music and I love this group and this song particularly. I listen to this all the time in my Ipod
